Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Cell Line],Proprietary Compound,Compound Concentration (microMolar),Compound InChIKey,Compound SMILES,Comment [Gene Identifier],Comment [Gene Symbol],Control Type,Channels,Score,Has Phenotype,Phenoptye Annotation Level,Phenotype,Phenotype Term Name,Phenotype Term Accession
1093670859,I3,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1151683253,30,,,3717,JAK2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1147.143799,,,,,
1093670859,I4,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1151683253,10,,,3717,JAK2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,472.8987427,,,,,
1093670859,I5,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1151683253,3.125,,,3717,JAK2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,766.807373,,,,,
1093670859,I6,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1151683253,1.25,,,3717,JAK2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,330.065979,,,,,
1093670859,I7,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1151683253,0.3,,,3717,JAK2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,131.0253143,,,,,
1093670859,I8,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1151683253,0.1,,,3717,JAK2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,58.8789978,,,,,
1093670859,I9,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1151683253,0.03,,,3717,JAK2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,63.39266968,,,,,
1093670859,I10,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1151683253,0.0125,,,3717,JAK2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,77.24852753,,,,,
1093670859,I11,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1151683253,0.003,,,3717,JAK2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,81.64170837,,,,,
1093670859,I12,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1151683253,0.001,,,3717,JAK2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,85.44869232,,,,,
1093670859,I13,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1151683253,0.0003,,,3717,JAK2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,83.35172272,,,,,
