Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Compound Name,Compound PubChem CID,Proprietary Compound,Compound InChIKey,Compound SMILES,Comment [Gene Identifier],Comment [Gene Symbol],Control Type,Comment [Control Type Comments],Quality Control,Channels
1093711385,E19,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7688,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E2,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN1056941090,,,7068,THRB,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E20,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN1048006323,,,5580,PRKCD,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E21,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7690,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E22,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN0212398523,,,3065,HDAC1,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E23,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7692,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E3,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7676,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E4,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN1107081981,,,3757,KCNH2,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E5,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7678,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E6,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN1076069864,,,2932,GSK3B,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E7,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,,,,,,Neutral Control,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E8,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,,,,,,Stimulator Control,Leptomycin b blocks nuclear export of fascin,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E9,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7680,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F10,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7701,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F11,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7702,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F12,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7703,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F13,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7704,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F14,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7705,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F15,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7706,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F16,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7707,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F17,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7708,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F18,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7709,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F19,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7710,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
